                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    126,                0.76071,                 0.5094,                 0.8908,                0.50147,                0.90532,                0.57702,                0.48275,                0.92697,                 1.4832,                 1.0086,             0.00097936,             0.00097936,             0.00097936
                    127,                0.74248,                0.50355,                0.88216,                0.50242,                0.87862,                0.52521,                0.43923,                0.83479,                 1.5601,                0.89204,             0.00097386,             0.00097386,             0.00097386
                    128,                0.73133,                0.49739,                0.87421,                0.51471,                0.88491,                0.55791,                0.46905,                0.81796,                 1.3408,                0.96189,             0.00096836,             0.00096836,             0.00096836
                    129,                0.73079,                 0.4784,                0.87819,                0.50078,                0.85287,                0.56888,                0.47988,                0.82831,                  1.596,                0.96147,             0.00096286,             0.00096286,             0.00096286
                    130,                  0.754,                0.48868,                0.89296,                0.51638,                0.89461,                0.54688,                0.44899,                0.85163,                 1.5758,                0.96551,             0.00095736,             0.00095736,             0.00095736
                    131,                0.72658,                0.49592,                0.88435,                0.52436,                0.89808,                 0.5405,                0.44339,                0.85729,                 1.4129,                0.95932,             0.00095186,             0.00095186,             0.00095186
                    132,                0.73817,                0.49287,                0.89027,                0.49841,                0.86747,                0.53248,                0.44594,                0.80919,                 1.3891,                0.96104,             0.00094636,             0.00094636,             0.00094636
                    133,                0.74026,                0.49426,                0.88835,                0.50263,                0.90971,                0.53302,                0.44681,                0.80317,                 1.5097,                0.97507,             0.00094085,             0.00094085,             0.00094085
                    134,                0.74866,                 0.5074,                0.89247,                0.50693,                0.89285,                 0.5283,                0.44319,                0.89735,                  1.385,                 1.0147,             0.00093535,             0.00093535,             0.00093535
                    135,                0.76028,                0.50393,                0.89008,                0.50096,                0.81995,                0.53682,                0.44657,                0.85006,                 1.4019,                 1.0057,             0.00092985,             0.00092985,             0.00092985
                    136,                0.72093,                 0.4978,                0.88596,                0.50631,                0.89808,                0.56856,                  0.473,                0.86734,                 1.3413,                 0.9964,             0.00092435,             0.00092435,             0.00092435
                    137,                0.73001,                 0.4951,                0.88182,                0.50409,                0.90594,                0.55432,                0.45535,                0.87209,                 1.4372,                 1.0078,             0.00091885,             0.00091885,             0.00091885
                    138,                 0.7182,                0.48497,                0.88238,                0.50987,                0.93072,                0.55323,                0.45142,                0.84506,                 1.4828,                0.99168,             0.00091335,             0.00091335,             0.00091335
                    139,                0.73719,                0.49639,                0.89072,                0.50588,                0.90792,                0.56432,                0.47185,                0.88506,                 1.6058,                0.95553,             0.00090785,             0.00090785,             0.00090785
                    140,                 0.7309,                0.48876,                0.89013,                0.49421,                0.87704,                0.56005,                0.46969,                0.92257,                 1.6341,                0.96287,             0.00090235,             0.00090235,             0.00090235
                    141,                0.72487,                0.49116,                0.88938,                0.50377,                0.88206,                0.55686,                0.46639,                0.87634,                 1.8013,                0.93152,             0.00089685,             0.00089685,             0.00089685
                    142,                0.73044,                0.47473,                0.87602,                  0.489,                0.84783,                0.51355,                0.42744,                0.91364,                 1.7047,                0.97759,             0.00089134,             0.00089134,             0.00089134
                    143,                 0.7291,                0.49565,                0.88637,                0.48871,                0.84124,                0.56735,                0.47605,                0.78031,                 1.4631,                0.89502,             0.00088584,             0.00088584,             0.00088584
                    144,                0.71817,                0.48335,                0.88778,                 0.4894,                0.87625,                0.53283,                 0.4448,                0.84661,                 1.4426,                0.92833,             0.00088034,             0.00088034,             0.00088034
                    145,                0.71829,                0.47323,                0.87697,                0.50403,                0.88787,                0.58216,                0.48477,                 0.8316,                 1.3969,                0.99548,             0.00087484,             0.00087484,             0.00087484
                    146,                0.73016,                0.48707,                0.88914,                0.49964,                0.84008,                0.55021,                0.45971,                0.82096,                 1.7338,                0.95148,             0.00086934,             0.00086934,             0.00086934
